,artist,upload_time,num_countries
445,Bibi Babydoll,2023-11-06 10:43:30.354751,5
446,Bread Beatz,2023-11-04 16:43:27.452336,5
447,Dani Flow,2023-11-04 16:43:27.452336,5
448,Dani Flow,2023-11-05 14:18:19.598429,5
449,Dani Flow,2023-11-06 10:43:30.354751,5
450,DobleP,2023-11-04 16:43:27.452336,5
451,Emilia,2023-11-04 16:43:27.452336,5
452,Eslabon Armado,2023-11-04 16:43:27.452336,5
453,Fred again..,2023-11-04 16:43:27.452336,5
454,Grupo Firme,2023-11-06 10:43:30.354751,5
455,Juliette,2023-11-04 16:43:27.452336,5
456,Karna.val,2023-11-04 16:43:27.452336,5
457,Karna.val,2023-11-05 14:18:19.598429,5
458,Karna.val,2023-11-06 10:43:30.354751,5
459,Kiko Rivera,2023-11-05 14:18:19.598429,5
460,Kiko Rivera,2023-11-06 10:43:30.354751,5
461,LANY,2023-11-04 16:43:27.452336,5
462,LANY,2023-11-05 14:18:19.598429,5
463,LANY,2023-11-06 10:43:30.354751,5
464,LIT killah,2023-11-05 14:18:19.598429,5
465,LIT killah,2023-11-06 10:43:30.354751,5
466,League of Legends,2023-11-04 16:43:27.452336,5
467,Lewis Capaldi,2023-11-04 16:43:27.452336,5
468,Lil Texas,2023-11-04 16:43:27.452336,5
469,Lil Texas,2023-11-05 14:18:19.598429,5
470,Lil Texas,2023-11-06 10:43:30.354751,5
471,Loreen,2023-11-06 10:43:30.354751,5
472,Macklemore,2023-11-04 16:43:27.452336,5
473,Macklemore,2023-11-06 10:43:30.354751,5
474,Marconi Union,2023-11-04 16:43:27.452336,5
475,Marconi Union,2023-11-05 14:18:19.598429,5
476,Marconi Union,2023-11-06 10:43:30.354751,5
477,Marlon Hoffstadt,2023-11-04 16:43:27.452336,5
478,Marlon Hoffstadt,2023-11-05 14:18:19.598429,5
479,Marlon Hoffstadt,2023-11-06 10:43:30.354751,5
480,Marshmello,2023-11-04 16:43:27.452336,5
481,Marshmello,2023-11-05 14:18:19.598429,5
482,Mawell,2023-11-04 16:43:27.452336,5
483,Mc Danone,2023-11-05 14:18:19.598429,5
484,Mc Danone,2023-11-06 10:43:30.354751,5
485,Noah Kahan,2023-11-04 16:43:27.452336,5
486,Noah Kahan,2023-11-05 14:18:19.598429,5
487,Noah Kahan,2023-11-06 10:43:30.354751,5
488,OneRepublic,2023-11-04 16:43:27.452336,5
489,OneRepublic,2023-11-06 10:43:30.354751,5
490,Paul Russell,2023-11-04 16:43:27.452336,5
491,Paul Russell,2023-11-05 14:18:19.598429,5
492,Paul Russell,2023-11-06 10:43:30.354751,5
493,Rockwell,2023-11-04 16:43:27.452336,5
494,Rockwell,2023-11-05 14:18:19.598429,5
495,Rockwell,2023-11-06 10:43:30.354751,5
496,Sabrina Carpenter,2023-11-04 16:43:27.452336,5
497,Saiko,2023-11-04 16:43:27.452336,5
498,Saiko,2023-11-05 14:18:19.598429,5
499,Saiko,2023-11-06 10:43:30.354751,5
500,Sayian Jimmy,2023-11-04 16:43:27.452336,5
501,Ski Aggu,2023-11-05 14:18:19.598429,5
502,Ski Aggu,2023-11-06 10:43:30.354751,5
503,Tego Calderón,2023-11-05 14:18:19.598429,5
504,Tropa do Bruxo,2023-11-04 16:43:27.452336,5
505,Tropa do Bruxo,2023-11-05 14:18:19.598429,5
506,Tropa do Bruxo,2023-11-06 10:43:30.354751,5
507,Vance Joy,2023-11-05 14:18:19.598429,5
508,Vibe Chemistry,2023-11-05 14:18:19.598429,5
509,Vibe Chemistry,2023-11-06 10:43:30.354751,5
510,Victor Thompson,2023-11-04 16:43:27.452336,5
511,Wolfine,2023-11-04 16:43:27.452336,5
512,Wolfine,2023-11-05 14:18:19.598429,5
513,Wolfine,2023-11-06 10:43:30.354751,5
